#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 1042.461975909172 -293.4160146348205 1359.346928175205 0.0007674232683158183 0.00287084764269072 3.114958839222823e-05
2458850.194000000 1074.581458122623 -118.3385042515723 1360.850722258161 0.0003016380794915096 0.002956407725576625 1.890154481790128e-05
2458850.888000000 1078.482149946315 59.62288148870982 1361.603967477386 -0.0001718070218608894 0.002966834567280749 6.168886630361116e-06
2458851.582000000 1054.065264457803 235.9455562830793 1361.587350386956 -0.0006408803501840034 0.002901865423908884 -6.721960142845986e-06
2458852.276000000 1001.9516302865 406.1486954000994 1360.801296218895 -0.001093661959277809 0.002763152992403468 -1.944045765412458e-05
2458852.970000000 923.4658850631095 565.9070661151336 1359.265960599901 -0.001518646257196505 0.002554223263599123 -3.166045833124468e-05
2458853.664000000 820.602802667649 711.1608986637716 1357.020713351767 -0.001905034054335503 0.002280385884407792 -4.30686061867404e-05
2458854.358000000 695.9766109302591 838.2190127326907 1354.12312724193 -0.002243006666393924 0.001948599313829862 -5.337241025227095e-05
2458855.052000000 552.7545860029537 943.8525858783281 1350.647497974026 -0.002523975152132831 0.001567294191637337 -6.230777122549931e-05
2458855.746000000 394.5766065414887 1025.377187150999 1346.682934339226 -0.002740798393439331 0.00114615938511179 -6.964576044101421e-05
2458856.440000000 225.4627054724464 1080.720995582859 1342.331068755931 -0.00288796450592398 0.000695896114235548 -7.519847594559422e-05
2458857.134000000 49.71096077734177 1108.477471791014 1337.703448044594 -0.002961730983807741 0.0002279463579746423 -7.882383048106012e-05
2458857.828000000 -128.211688014004 1107.941143177797 1332.918672054105 -0.002960220012504884 -0.0002457976045538896 -8.042915743019556e-05
2458858.522000000 -303.7829303065682 1079.125589562388 1328.099353665223 -0.002883466503379706 -0.0007132951802737191 -7.99735513758914e-05
2458859.216000000 -472.5400032532808 1022.76316609214 1323.368977802703 -0.002733417592201142 -0.001162663334114284 -7.746888957874495e-05
2458859.910000000 -630.1931214119179 940.2864628672053 1318.84873942154 -0.002513883567860856 -0.001582478591431865 -7.29795103250674e-05
2458860.604000000 -772.7345347600622 833.791964256797 1314.654440957753 -0.002230441430451888 -0.00196206749737826 -6.662055495173656e-05
2458861.298000000 -896.540440879948 705.9868236579714 1310.893528356944 -0.001890293485972649 -0.00229177813736791 -5.855501298680571e-05
2458861.992000000 -998.4631563835655 560.1200997859294 1307.662341417068 -0.001502084536424325 -0.00256322579137068 -4.898954365187432e-05
2458862.686000000 -1075.911198424654 399.900197389931 1305.043648784178 -0.00107568228796831 -0.002769506443099898 -3.816918028008492e-05
2458863.380000000 -1126.915233392657 229.4006082008643 1303.1045306132 -0.0006219265473614109 -0.002905372677339747 -2.6371054841465e-05
2458864.074000000 -1150.178208809243 52.9563477311284 1301.894662872286 -0.0001523535828083164 -0.002967367453756372 -1.389730580281159e-05
2458864.768000000 -1145.10838690641 -124.9462775813338 1301.445046844149 0.0003210973316806435 -0.002953912318940259 -1.067352813570888e-06
2458865.462000000 -1111.83443405668 -299.7837667448735 1301.767215919236 0.000786387706377805 -0.002865347782404533 1.179026406465341e-05
2458866.156000000 -1051.202177958103 -467.1104780871656 1302.852939635676 0.001231686207750516 -0.002703924806677095 2.434627426061093e-05
2458866.850000000 -964.7531124687416 -622.6717091558887 1304.674432415521 0.001645669788744669 -0.002473747614686862 3.627908568897963e-05
2458867.544000000 -854.6851961621105 -762.5119209189284 1307.185061847733 0.002017811885303281 -0.00218066926667038 4.728300329840383e-05
2458868.238000000 -723.7969429821777 -883.0753482178754 1310.320538913869 0.002338650317263724 -0.001832142671082159 5.707605190335356e-05
2458868.932000000 -575.4162301170046 -981.2964328988835 1314.000560463298 0.002600028052629818 -0.001437030837649237 6.5407205961551e-05
2458869.626000000 -413.3156383238201 -1054.677776287426 1318.130862745571 0.002795300692040841 -0.001005381225640725 7.206284075629349e-05
2458870.320000000 -241.6164833610063 -1101.353626906771 1322.605634143285 0.002919505386535672 -0.0005481699592046763 7.687223560234928e-05
2458871.014000000 -64.68398506997613 -1120.137289275505 1327.310225700831 0.002969486893716828 -7.702245018127607e-05 7.971198088479451e-05
2458871.708000000 112.9837543662073 -1110.551250626809 1332.124089933272 0.002943977578733228 0.0003960824328503434 8.050916753814851e-05
2458872.402000000 286.8701350624338 -1072.839263779124 1336.92387206719 0.002843629347819614 0.0008591170976200266 7.924327005276932e-05
2458873.096000000 452.5548951008797 -1007.960084710486 1341.586573632377 0.002670996732214483 0.001300311094174456 7.594667140718714e-05
2458873.790000000 605.8264758358956 -917.5630307640014 1345.992706425796 0.002430471586929939 0.001708450327203759 7.070381849430605e-05
2458874.484000000 742.7890603494076 -803.9459878597029 1350.029355395478 0.002128171099962746 0.002073162009454356 6.364903676833267e-05
2458875.178000000 859.9615660767025 -669.9969408235926 1353.593071849119 0.001771781991943154 0.002385178125190927 5.496306992596042e-05
2458875.872000000 954.3660789714985 -519.1205187466636 1356.592523318908 0.001370364894577962 0.002636570728597315 4.48684421422514e-05
2458876.566000000 1023.603486455461 -355.1514266443785 1358.950833057873 0.0009341239012340884 0.002820953124887266 3.362376592626446e-05
2458877.260000000 1065.914392786089 -182.2569661742144 1360.607550152665 0.000474147160056363 0.0029336418529901 2.151713898814172e-05
2458877.954000000 1080.223775082381 -4.831123501974275 1361.520200361522 2.125107270782226e-06 0.002971775386270686 8.858790717536629e-06
2458878.648000000 1066.168251495964 172.6170852540831 1361.665377903259 -0.0004699465025206089 0.002934386566860155 -4.026844906299294e-06
2458879.342000000 1024.105274385419 345.57817647684 1361.039349511581 -0.0009300712353438649 0.002822426962121944 -1.680943695534171e-05
2458880.036000000 955.1040196125903 509.6567626158846 1359.65815411072 -0.001366556567259601 0.002638742548601102 -2.916123744731343e-05
2458880.730000000 860.9182065844685 660.6832112851203 1357.557194337448 -0.001768310715494781 0.002388001358143018 -4.076551338988129e-05
2458881.424000000 743.9415407350034 794.819568826913 1354.79032952654 -0.002125124206571659 0.002076574931301073 -5.132470577024568e-05
2458882.118000000 607.1469093216758 908.6570630622991 1351.428493205665 -0.002427929067390014 0.001712376584273355 -6.056809443924949e-05
2458882.812000000 454.0108718715774 999.3027131271141 1347.557871024173 -0.00266902909098045 0.001304660579363445 -6.825876201616184e-05
2458883.506000000 288.425358237934 1064.452849534842 1343.277686795428 -0.002842295354743613 0.0008637872698640824 -7.419967283650759e-05
2458884.200000000 114.5988109622011 1102.451677989812 1338.697654522297 -0.0029433220376233 0.0004009601459444104 -7.823871175030701e-05
2458884.894000000 -63.05072350510488 1112.333397920465 1333.935162643296 -0.002969538574065558 -7.205858116957327e-05 -8.027255906298152e-05
2458885.588000000 -240.0078448861589 1093.846801981868 1329.112263199442 -0.002920275274640395 -0.0005432466707660515 -8.024930970035741e-05
2458886.282000000 -411.7745432362976 1047.46172573124 1324.352543196362 -0.002796780711223993 -0.001000627261831051 -7.816977581755598e-05
2458886.976000000 -573.984524198991 974.3571763700738 1319.777958156673 -0.002602190381291437 -0.001432573257099341 -7.408744292618089e-05
2458887.670000000 -722.514210286194 876.3914343943061 1315.50570871236 -0.002341447401302393 -0.001828102949382815 -6.810708114394245e-05
2458888.364000000 -853.5875948827907 756.0548804242445 1311.645240013051 -0.002021177201664311 -0.00217715936474678 -6.038204600325382e-05
2458889.058000000 -963.8722795532676 616.4067396476333 1308.295440650071 -0.001649519372936047 -0.002470866198028176 -5.11103370457581e-05
2458889.752000000 -1050.564247519349 460.997346851491 1305.542112698779 -0.001235920913183856 -0.00270175380183639 -4.052951578140964e-05
2458890.446000000 -1111.459211416832 293.7779052246691 1303.455777446431 -0.0007908961199422954 -0.002863949446261111 -2.891061549136734e-05
2458891.140000000 -1145.008714353506 119.0000323731006 1302.089872608544 -0.0003257592305865793 -0.002953326973544391 -1.655120187627141e-05
2458891.834000000 -1150.359551233774 -58.89235110548583 1301.479386646788 0.0001476633808337352 -0.002967612006646111 -3.767764423326728e-06
2458892.528000000 -1127.375502325244 -235.3760384277659 1301.639964541253 0.0006173341126392332 -0.002906440006072242 9.112366787300541e-06
2458893.222000000 -1076.640822212332 -405.9635804270109 1302.56750739178 0.001071310471897413 -0.00277136567614318 2.175937491750903e-05
2458893.916000000 -999.4453929914341 -566.3174253470986 1304.238275843962 0.001498049016538012 -0.002565823468696803 3.384937260652232e-05
2458894.610000000 -897.7519188010482 -712.3602461722181 1306.609494823336 0.001886699140565314 -0.002295040186554053 4.507267213911005e-05
2458895.304000000 -774.1459974479046 -840.3786441870866 1309.620444644044 0.002227379199355609 -0.001965901918097511 5.514170440727338e-05
2458895.998000000 -631.770342125058 -947.1175867467198 1313.194011441667 0.002511427925762 -0.001586778705782175 6.379838822719681e-05
2458896.692000000 -474.2448307097389 -1029.863174263027 1317.238658270389 0.00273162472367752 -0.001167311434538288 7.082076184914402e-05
2458897.386000000 -305.5744214379706 -1086.511630022751 1321.65076733158 0.00288237322697289 -0.0007181663924287381 7.602870290621995e-05
2458898.080000000 -130.0472825841263 -1115.62275886611 1326.317293935525 0.00295984345700307 -0.0002507637803088145 7.9288582397805e-05
2458898.774000000 47.8742677806766 -1116.456517799841 1331.118664262025 0.002962068975959476 0.0002230128918376537 8.051672340199664e-05
2458899.468000000 223.6672340757742 -1088.99177295473 1335.931842137842 0.002888996587868635 0.0006911191035546799 7.968156644101021e-05
2458900.162000000 392.8629390758496 -1033.926771745494 1340.63348524816 0.002742487353433628 0.001141655610782344 7.680448025955124e-05
2458900.856000000 551.1606180767009 -952.6613248978633 1345.103108733735 0.002526268927279351 0.001563170924103193 7.195919746392793e-05
2458901.550000000 694.5367238335243 -847.2611582306632 1349.226174145844 0.002245840464430732 0.001944952290858188 6.526989612631808e-05
2458902.244000000 819.3471658128984 -720.405346873825 1352.897024192889 0.00190833254565922 0.002277297797733422 5.690798768862634e-05
2458902.938000000 922.4198886883889 -575.3181735387642 1356.021588378342 0.00152232570882927 0.002551762700113296 4.708770538389378e-05
2458903.632000000 1001.135441941953 -415.6871467934139 1358.519791125048 0.001097632217754678 0.002761373746272735 3.606061444730887e-05
2458904.326000000 1053.493498552122 -245.569265215327 1360.327601899636 0.0006450466259266626 0.002900806081239824 2.410918603702153e-05
2458905.020000000 1078.163638263622 -69.287910080156 1361.398675863494 0.0001760714769835058 0.002966518266545208 1.153959303991088e-05
2458905.714000000 1074.519110737821 108.6770144443959 1361.705543497072 -0.0002973748925639857 0.002956842014530066 -1.326099624030441e-06
2458906.408000000 1042.65272586407 283.8029047443427 1361.240318425405 -0.0007632610361546729 0.002872024383081461 -1.415816315585364e-05
2458907.102000000 983.3744716654539 451.6393566674113 1360.014904324852 -0.00120974789478827 0.002714221379545678 -2.662764996910825e-05
2458907.796000000 898.1909230861841 607.9212254605179 1358.060694269653 -0.001625489374610689 0.002487443150423368 -3.841484157557687e-05
2458908.490000000 789.2669657794121 748.676979617263 1355.427768979422 -0.001999920400556985 0.002197452154720645 -4.92174774845963e-05
2458909.184000000 659.3708062658596 870.329601082281 1352.183613761189 -0.002323525163146682 0.001851616902617437 -5.875854373667483e-05
2458909.878000000 511.8036623602134 969.7874729611857 1348.41138695957 -0.002588078777002162 0.001458724958174672 -6.67934098289234e-05
2458910.572000000 350.3159151526078 1044.522948878 1344.207784852475 -0.002786856237916237 0.001028759928506738 -7.311612232463379e-05
2458911.266000000 179.0118465484651 1092.636609110685 1339.680558650612 -0.002914803383787061 0.0005726480683257311 -7.756469022469006e-05
2458911.960000000 2.245375986731396 1112.905569922365 1334.945748231911 -0.002968665514308175 0.0001019808970773569 -8.002522819080582e-05
2458912.654000000 -175.4905607724732 1104.814615260907 1330.124704298683 -0.002947070383588195 -0.0003712791623295459 -8.043485623758975e-05
2458913.348000000 -349.6781848432436 1068.569354345655 1325.340975748522 -0.002850563424943079 -0.0008351026745501258 -7.878328699473464e-05
2458914.042000000 -515.889700956545 1005.09106388681 1320.717142215489 -0.002681594271344582 -0.001277698908928908 -7.51130638479905e-05
2458914.736000000 -669.899860095674 915.9933384337817 1316.371672966542 -0.002444454869157944 -0.001687815617448666 -6.951844577860616e-05
2458915.430000000 -807.7933952515323 803.5411348874119 1312.415892593446 -0.002145170715523275 -0.00205502524395829 -6.214296808995179e-05
2458916.124000000 -926.0645954867265 670.593245710846 1308.951131170679 -0.001791347948611994 -0.002369990266974579 -5.317574225364324e-05
2458916.818000000 -1021.70648152443 520.5296582505486 1306.066131745456 -0.00139198015284149 -0.00262470089921303 -4.284659166489875e-05
2458917.512000000 -1092.287309266394 357.1656438783689 1303.834781269671 -0.000957219777484569 -0.002812679064195292 -3.142015133143078e-05
2458918.206000000 -1136.012449399399 184.6547602885087 1302.314222571639 -0.0004981199790762379 -0.002929143426181377 -1.918908653523272e-05
2458918.900000000 -1151.770063333978 7.383234366905754 1301.543394996082 -2.635346136959926e-05 -0.002971131242055885 -6.466606959212168e-06
2458919.594000000 -1139.159408599469 -170.1415858014379 1301.542040266192 0.0004460845187344078 -0.002937573906901445 6.42153181315574e-06
2458920.288000000 -1098.50104990764 -343.4058688561278 1302.310198296466 0.000907181400685825 -0.002829324250235267 1.91453378119307e-05
2458920.982000000 -1030.828713954821 -508.0041074750815 1303.828205429955 0.001345213031768298 -0.002649134876377777 3.137899679358852e-05
2458921.676000000 -937.8629947646621 -659.7511697868929 1306.057195154901 0.001749042033442865 -0.002401588097986725 4.280918375427361e-05
2458922.370000000 -821.9675798543778 -794.7887399139797 1308.94008899349 0.00210840120365906 -0.002092979253546614 5.314306722377881e-05
2458923.064000000 -686.0891137743666 -909.6834361845829 1312.403053140199 0.002414154721344321 -0.00173115639505836 6.211580737843316e-05
2458923.758000000 -533.6822330586523 -1001.514108607405 1316.357384746957 0.002658530491382258 -0.001325320449887123 6.949735791174887e-05
2458924.452000000 -368.6216845983354 -1067.946094172382 1320.701780715783 0.002835317712050361 -0.0008857909715162639 7.509839431714399e-05
2458925.146000000 -195.1037681443904 -1107.29054227417 1325.324931722797 0.002940024642450305 -0.0004237434712877837 7.877520868510006e-05
2458925.840000000 -17.53961469973481 -1118.54730429354 1330.108375273925 0.002969992570846808 4.907495557771559e-05 8.043343430679038e-05
2458926.534000000 159.5569809103654 -1101.430301211942 1334.929534250756 0.002924463108817194 0.0005206444498139812 8.003049300747453e-05
2458927.228000000 331.6843181624875 -1056.374730159698 1339.664862032707 0.002804597130807631 0.0009789780355980893 7.757669405250643e-05
2458927.922000000 494.4672206301988 -984.5259334447003 1344.193012218517 0.002613444912632379 0.001412426315472334 7.31349542433203e-05
2458928.616000000 643.7682289230211 -887.7102200044898 1348.397950431881 0.002355868263690102 0.001809973469566449 6.681915168332473e-05
2458929.310000000 775.7927325740231 -768.3883874864848 1352.171927700487 0.002038416664681141 0.002161517049358207 5.879116703648793e-05
2458930.004000000 887.1853725184031 -629.5931317171908 1355.418239247179 0.001669160585165031 0.002458124478311865 4.925670245182828e-05
2458930.698000000 975.1152689908772 -474.8519382069905 1358.053698850644 0.001257486235098631 0.002692259770519489 3.845999745191481e-05
2458931.392000000 1037.347914473761 -308.0974173972072 1360.010766769922 0.0008138569754207255 0.00285797473834317 2.667758272498601e-05
2458932.086000000 1072.301910484483 -133.5673624910694 1361.239278175776 0.0003495474512089084 0.002951059862004436 1.421122861722159e-05
2458932.780000000 1079.08911192407 44.30293194776294 1361.707728827208 -0.0001236428038336232 0.002969151016042762 1.380257994035034e-06
2458933.474000000 1057.537163693934 220.9933573683061 1361.404085275666 -0.0005936890282380669 0.002911789364537616 -1.148659442742547e-05
2458934.168000000 1008.19386066532 392.0138253762891 1360.336098186991 -0.001048646565038868 0.002780432921129009 -2.405958114146253e-05
2458934.862000000 932.3132225503448 553.0183357682073 1358.531109456811 -0.001476954133203332 0.002578419491176349 -3.601639159839828e-05
2458935.556000000 831.8236381260715 699.9153854760596 1356.035356555501 -0.001867727362986224 0.002310881940595449 -4.705043554084003e-05
2458936.250000000 709.2788869465609 828.9719183068662 1352.912790681825 -0.002211035169620448 0.001984617937721141 -5.687873997557355e-05
2458936.944000000 567.7932797957654 936.9081787803395 1349.243438358429 -0.002498151974383053 0.001607917460884985 -6.524924594093241e-05
2458937.638000000 410.962560932238 1020.981063157102 1345.12134849857 -0.002721779389609971 0.001190352427380545 -7.194730698457252e-05
2458938.332000000 242.7725757590165 1079.0538511309 1340.65217816513 -0.002876231749176461 0.0007425337540168988 -7.680121534588342e-05
2458939.026000000 67.49801796098001 1109.650545479218 1335.950479804178 -0.002957580770207482 0.0002758419830730593 -7.96866116251406e-05
2458939.720000000 -110.4061772745688 1111.993435726478 1331.136760412257 -0.002963755654532199 -0.0001978617192159683 -8.052966639571763e-05
2458940.414000000 -286.4180391263705 1086.022926094314 1326.334388780051 -0.002894596056643244 -0.0006665368786116849 -7.930895574818252e-05
2458941.108000000 -456.0634922878127 1032.399117181038 1321.666430626903 -0.002751856532654143 -0.001118269705371707 -7.605598631535968e-05
2458941.802000000 -615.0300932284011 952.4850937697644 1317.25249309685 -0.00253916231345597 -0.001541575991983824 -7.085435903750922e-05
2458942.496000000 -759.2766791574295 848.3123362288111 1313.205659708213 -0.002261917484026266 -0.001925693208491318 -6.38375951433174e-05
2458943.190000000 -885.1361388276848 722.5291282725251 1309.629594404068 -0.00192716786731915 -0.002260854349195522 -5.518568241362585e-05
2458943.884000000 -989.4086873153119 578.333267663742 1306.615888843531 -0.001543422072877828 -0.002538536538532559 -4.512043377826271e-05
2458944.578000000 -1069.443267135923 419.3907875184268 1304.241720587989 -0.001120435245988365 -0.002751678039752548 -3.389978199372758e-05
2458945.272000000 -1123.204999482304 249.7427537563228 1302.567881564783 -0.0006689610138834028 -0.002894858111648699 -2.181116171963665e-05
2458945.966000000 -1149.326964296812 73.70250959378967 1301.637226426723 -0.0002004779456168609 -0.002964435105212816 -9.164152361345419e-06
2458946.660000000 -1147.144987224095 -104.2540171607376 1301.47357952149 0.000273102499854482 -0.00295863925911393 3.717428990084428e-06
2458947.354000000 -1116.714544971989 -279.6021503039477 1302.081127500669 0.0007397390845295697 -0.002877617812576924 1.65037850369833e-05
